,Region_ID,right_Ascension,Declination,flux_100GHz,flux_100GHz_error,freefree_flux_100GHz,freefree_flux_100GHz_error,flux_345GHz,flux_345GHz_error,dust_flux_345GHz,dust_flux_345GHz_error,gas_Mass,gas_Mass_error,stellar_Mass,stellar_Mass_error,gas_fraction,gas_fraction_error,total_Mass,total_Mass_error,halflight_Radius,halflight_Radius_error,Gas surface density,Gas_surface_density_error,optical_extinction,optical_extinction_error
0,1.000,156.966,-43.904,0.290,0.032,0.275,0.032,1.169,0.280,0.913,0.280,6.845,0.133,6.205,0.317,81.343,33.992,6.935,0.123,4.968,1.723,130171.310,98705.141,6391.411,4846.422
1,2.000,156.966,-43.903,0.231,0.013,0.216,0.014,1.106,0.238,0.902,0.238,6.840,0.114,6.101,0.175,84.565,29.648,6.913,0.100,4.414,0.886,162931.495,78255.391,7999.936,3842.340
2,3.000,156.963,-43.904,0.552,0.058,0.537,0.058,1.157,0.327,0.669,0.327,6.710,0.213,6.496,0.297,62.060,39.215,6.917,0.174,8.399,1.581,33365.685,20604.647,1638.255,1011.688
3,4.000,156.963,-43.904,0.298,0.052,0.252,0.053,3.489,0.594,3.225,0.594,7.393,0.080,6.167,0.571,94.384,24.932,7.418,0.082,7.371,2.485,208913.071,146051.702,10257.632,7171.139
4,5.000,156.966,-43.905,0.305,0.022,0.297,0.022,0.673,0.088,0.403,0.088,6.490,0.095,6.238,0.202,64.078,19.828,6.683,0.095,1.434,2.494,689822.439,2404753.575,33870.282,118073.401
5,6.000,156.963,-43.905,3.795,0.148,3.731,0.148,4.838,0.440,1.485,0.440,7.056,0.129,7.338,0.109,34.323,12.160,7.521,0.084,5.449,0.525,176014.110,62239.796,8642.293,3055.974
6,7.000,156.963,-43.905,0.220,0.042,0.208,0.042,0.861,0.169,0.667,0.169,6.708,0.110,6.085,0.549,80.773,32.889,6.801,0.138,3.667,2.155,174499.701,209897.861,8567.935,10305.985
7,8.000,156.966,-43.903,0.100,0.015,0.096,0.015,0.332,0.117,0.243,0.117,6.271,0.209,5.748,0.437,76.909,49.980,6.385,0.190,4.917,0.577,35446.926,18978.273,1740.444,931.833
8,9.000,156.964,-43.903,0.168,0.014,0.161,0.014,0.554,0.064,0.406,0.064,6.493,0.068,5.972,0.244,76.842,18.228,6.607,0.077,2.686,1.362,198037.557,203238.721,9723.644,9979.021
9,10.000,156.964,-43.904,0.115,0.008,0.114,0.008,0.106,0.014,0.005,0.014,4.557,1.323,5.822,0.183,5.154,15.859,5.845,0.186,5.707,0.660,508.093,1552.602,24.947,76.233
10,11.000,156.964,-43.904,0.089,0.008,0.080,0.008,0.712,0.071,0.633,0.071,6.686,0.049,5.668,0.271,91.249,14.764,6.726,0.050,2.105,1.175,502871.077,564461.815,24690.970,27715.075
11,12.000,156.964,-43.905,0.083,0.025,0.066,0.026,1.334,0.149,1.260,0.149,6.985,0.052,5.585,1.062,96.166,18.245,7.002,0.064,6.513,2.935,104545.142,95056.841,5133.166,4667.291
12,13.000,156.963,-43.904,0.215,0.013,0.204,0.013,0.872,0.127,0.682,0.127,6.718,0.081,6.075,0.177,81.483,20.476,6.807,0.073,6.755,1.927,52627.123,31570.884,2583.992,1550.130
13,14.000,156.966,-43.904,0.160,0.032,0.154,0.032,0.495,0.255,0.353,0.255,6.433,0.313,5.953,0.577,75.099,72.152,6.557,0.276,5.562,0.841,40193.229,31434.434,1973.488,1543.431
14,15.000,156.965,-43.905,0.181,0.026,0.157,0.027,1.874,0.276,1.714,0.276,7.118,0.070,5.961,0.466,93.487,21.678,7.148,0.072,2.690,4.385,833586.523,2721307.943,40929.098,133616.220
15,16.000,156.962,-43.905,0.097,0.017,0.069,0.017,2.111,0.208,2.026,0.208,7.191,0.045,5.605,0.692,97.470,14.569,7.202,0.047,5.846,0.919,208643.667,69061.474,10244.404,3390.918
16,17.000,156.964,-43.904,0.134,0.026,0.131,0.026,0.210,0.086,0.091,0.086,5.844,0.410,5.885,0.537,47.649,58.561,6.166,0.342,2.384,2.494,56378.007,129394.058,2768.160,6353.248
17,18.000,156.964,-43.904,0.107,0.019,0.098,0.019,0.717,0.148,0.622,0.148,6.678,0.103,5.756,0.537,89.315,30.864,6.727,0.109,4.857,1.189,92791.118,50523.679,4556.044,2480.713
18,19.000,156.963,-43.904,0.045,0.012,0.038,0.012,0.551,0.067,0.511,0.067,6.593,0.057,5.346,0.844,94.648,19.822,6.617,0.071,2.750,1.760,237996.307,306220.949,11685.619,15035.449
19,20.000,156.964,-43.904,0.034,0.013,0.028,0.013,0.488,0.052,0.458,0.052,6.545,0.049,5.207,1.331,95.610,19.746,6.565,0.075,3.078,1.397,170106.492,155593.897,8352.229,7639.660
